recv_time_ns,req_id,packet_id,total_pkts,t_emit_ns,src_node_id,L_in,L_out_expected,recv_node_id
413653555,0,0,1,354062375,60,342,0,2
642292780,1,0,2,582705449,60,592,0,2
643436777,1,1,2,582705449,60,592,0,2
700689636,2,0,1,641103287,60,307,0,2
859451380,3,0,2,799867699,60,377,0,2
860595378,3,1,2,799867699,60,377,0,2
955047957,4,0,1,895465888,60,255,0,2
1065079244,5,0,1,1005499023,60,280,0,2
1213217317,6,0,2,1153639580,60,594,0,2
1214361315,6,1,2,1153639580,60,594,0,2
1219745925,7,0,2,1160168297,60,601,0,2
1220889920,7,1,2,1160168297,60,601,0,2
1334515991,8,0,2,1274940284,60,493,0,2
1335659988,8,1,2,1274940284,60,493,0,2
1361577058,9,0,2,1302001810,60,384,0,2
1362721055,9,1,2,1302001810,60,384,0,2
1651483739,10,0,2,1591913340,60,553,0,2
1652627736,10,1,2,1591913340,60,553,0,2
1653771733,11,0,2,1594160714,60,645,0,2
1654915728,11,1,2,1594160714,60,645,0,2
1692009256,12,0,2,1632439544,60,444,0,2
1693153253,12,1,2,1632439544,60,444,0,2
1694297251,13,0,2,1632857075,60,542,0,2
1695441248,13,1,2,1632857075,60,542,0,2
1827125402,14,0,2,1767557947,60,614,0,2
1828269399,14,1,2,1767557947,60,614,0,2
1854913069,15,0,2,1795346083,60,584,0,2
1856057067,15,1,2,1795346083,60,584,0,2
2035746505,16,0,2,1976182533,60,494,0,2
2036890499,16,1,2,1976182533,60,494,0,2
2055673505,17,0,2,1996109867,60,566,0,2
2056817500,17,1,2,1996109867,60,566,0,2
2103379802,18,0,2,2043816958,60,508,0,2
2104523800,18,1,2,2043816958,60,508,0,2
2206220885,19,0,2,2146659759,60,415,0,2
2207364882,19,1,2,2146659759,60,415,0,2
2440090093,20,0,2,2380532868,60,560,0,2
2441234091,20,1,2,2380532868,60,560,0,2
2474044640,21,0,2,2414487981,60,592,0,2
2475188637,21,1,2,2414487981,60,592,0,2
2927021179,22,0,2,2867472056,60,596,0,2
2928165177,22,1,2,2867472056,60,596,0,2
2994923729,23,0,2,2935375734,60,601,0,2
2996067726,23,1,2,2935375734,60,601,0,2
3065448775,24,0,2,3005901942,60,405,0,2
3066592772,24,1,2,3005901942,60,405,0,2
3107014490,25,0,2,3047468354,60,553,0,2
3108158487,25,1,2,3047468354,60,553,0,2
3229113797,26,0,2,3169569686,60,503,0,2
3230257795,26,1,2,3169569686,60,503,0,2
3302512024,27,0,1,3242969123,60,307,0,2
3383181826,28,0,2,3323640267,60,576,0,2
3384325824,28,1,2,3323640267,60,576,0,2
3493915403,29,0,2,3434375683,60,579,0,2
3495059401,29,1,2,3434375683,60,579,0,2
3558408489,30,0,2,3498869827,60,518,0,2
3559552486,30,1,2,3498869827,60,518,0,2
3828480286,31,0,2,3768946090,60,558,0,2
3829624284,31,1,2,3768946090,60,558,0,2
3934166866,32,0,2,3874634421,60,571,0,2
3935310864,32,1,2,3874634421,60,571,0,2
3992013800,33,0,2,3932482313,60,521,0,2
3993157798,33,1,2,3932482313,60,521,0,2
4002014111,34,0,2,3942482789,60,373,0,2
4003158108,34,1,2,3942482789,60,373,0,2
4290116442,35,0,2,4230589870,60,358,0,2
4291260440,35,1,2,4230589870,60,358,0,2
4592122457,36,0,2,4532600857,60,444,0,2
4593266455,36,1,2,4532600857,60,444,0,2
4670408546,37,0,2,4610888229,60,512,0,2
4671552544,37,1,2,4610888229,60,512,0,2
4672696541,38,0,2,4611070005,60,522,0,2
4673840536,38,1,2,4611070005,60,522,0,2
4782110128,39,0,2,4722591652,60,452,0,2
4783254125,39,1,2,4722591652,60,452,0,2
4842863284,40,0,2,4783345803,60,570,0,2
4844007281,40,1,2,4783345803,60,570,0,2
4961619447,41,0,2,4902103918,60,477,0,2
4962763444,41,1,2,4902103918,60,477,0,2
