recv_time_ns,req_id,packet_id,total_pkts,t_emit_ns,src_node_id,L_in,L_out_expected,recv_node_id
587966037,0,0,2,501149424,1584,457,0,894
589110037,0,1,2,501149424,1584,457,0,894
595117361,1,0,2,508300885,1584,490,0,894
596261361,1,1,2,508300885,1584,490,0,894
655528369,2,0,1,568713067,1584,305,0,894
921256265,3,0,2,834446161,1584,511,0,894
922400264,3,1,2,834446161,1584,511,0,894
1009268682,4,0,2,922460298,1584,356,0,894
1010412682,4,1,2,922460298,1584,356,0,894
1018684080,5,0,2,931875872,1584,453,0,894
1019828080,5,1,2,931875872,1584,453,0,894
1032614117,6,0,2,945806182,1584,536,0,894
1033758117,6,1,2,945806182,1584,536,0,894
1100286234,7,0,2,1013479627,1584,544,0,894
1101430234,7,1,2,1013479627,1584,544,0,894
1117570018,8,0,2,1030763741,1584,579,0,894
1118714018,8,1,2,1030763741,1584,579,0,894
1414215932,9,0,2,1327415454,1584,368,0,894
1415359932,9,1,2,1327415454,1584,368,0,894
1542244748,10,0,2,1455446769,1584,669,0,894
1543388748,10,1,2,1455446769,1584,669,0,894
1570725415,11,0,2,1483927981,1584,531,0,894
1571869415,11,1,2,1483927981,1584,531,0,894
1600886489,12,0,2,1514089658,1584,491,0,894
1602030489,12,1,2,1514089658,1584,491,0,894
1651517945,13,0,2,1564722092,1584,574,0,894
1652661945,13,1,2,1564722092,1584,574,0,894
1700593479,14,0,2,1613798581,1584,483,0,894
1701737479,14,1,2,1613798581,1584,483,0,894
1727743942,15,0,2,1640949569,1584,490,0,894
1728887942,15,1,2,1640949569,1584,490,0,894
1761356338,16,0,2,1674562628,1584,477,0,894
1762500338,16,1,2,1674562628,1584,477,0,894
1993463289,17,0,2,1906674100,1584,597,0,894
1994607289,17,1,2,1906674100,1584,597,0,894
2015754074,18,0,2,1928965314,1584,581,0,894
2016898074,18,1,2,1928965314,1584,581,0,894
2065821535,19,0,2,1979033771,1584,505,0,894
2066965535,19,1,2,1979033771,1584,505,0,894
2165821354,20,0,1,2079035534,1584,335,0,894
2266245610,21,0,2,2179461738,1584,435,0,894
2267389610,21,1,2,2179461738,1584,435,0,894
2331927293,22,0,2,2245144706,1584,410,0,894
2333071292,22,1,2,2245144706,1584,410,0,894
2444744987,23,0,2,2357964579,1584,538,0,894
2445888987,23,1,2,2357964579,1584,538,0,894
2549179949,24,0,2,2462401585,1584,512,0,894
2550323949,24,1,2,2462401585,1584,512,0,894
2635660088,25,0,2,2548883397,1584,562,0,894
2636804088,25,1,2,2548883397,1584,562,0,894
3024955076,26,0,2,2938185964,1584,569,0,894
3026099076,26,1,2,2938185964,1584,569,0,894
3315661987,27,0,2,3228898506,1584,600,0,894
3316805987,27,1,2,3228898506,1584,600,0,894
3503430960,28,0,2,3416671129,1584,639,0,894
3504574960,28,1,2,3416671129,1584,639,0,894
3583568171,29,0,2,3496809892,1584,555,0,894
3584712171,29,1,2,3496809892,1584,555,0,894
3805300752,30,0,2,3718546778,1584,589,0,894
3806444752,30,1,2,3718546778,1584,589,0,894
3872479437,31,0,2,3785726762,1584,492,0,894
3873623437,31,1,2,3785726762,1584,492,0,894
4033351327,32,0,2,3946601771,1584,598,0,894
4034495327,32,1,2,3946601771,1584,598,0,894
4092607910,33,0,2,4005859499,1584,605,0,894
4093751910,33,1,2,4005859499,1584,605,0,894
4097793103,34,0,2,4011044807,1584,484,0,894
4098937103,34,1,2,4011044807,1584,484,0,894
4280868666,35,0,2,4194123914,1584,365,0,894
4282012666,35,1,2,4194123914,1584,365,0,894
4283156666,36,0,2,4196267366,1584,685,0,894
4284300666,36,1,2,4196267366,1584,685,0,894
4285444667,37,0,2,4196340929,1584,597,0,894
4286588667,37,1,2,4196340929,1584,597,0,894
4289333028,38,0,2,4202588430,1584,578,0,894
4290477028,38,1,2,4202588430,1584,578,0,894
4293903080,39,0,2,4207158578,1584,596,0,894
4295047080,39,1,2,4207158578,1584,596,0,894
4456531245,40,0,2,4369789879,1584,472,0,894
4457675245,40,1,2,4369789879,1584,472,0,894
4529419342,41,0,2,4442679389,1584,499,0,894
4530563343,41,1,2,4442679389,1584,499,0,894
4601699402,42,0,2,4514960842,1584,492,0,894
4602843402,42,1,2,4514960842,1584,492,0,894
4628667200,43,0,2,4541929162,1584,505,0,894
4629811200,43,1,2,4541929162,1584,505,0,894
4641817175,44,0,2,4555079409,1584,484,0,894
4642961176,44,1,2,4555079409,1584,484,0,894
