4,800000000,0
4,947761108,0
4,1101053594,1380
4,1103347994,4140
4,1105642395,6900
4,1107936796,9660
4,1110231197,12420
4,1254303059,15180
4,1256597462,17940
4,1258891863,20700
4,1261186263,23460
4,1263480662,26220
4,1265775063,28980
4,1268069464,31740
4,1407552701,34500
4,1409847102,37260
4,1412141503,40020
4,1414435904,42780
4,1416730305,45540
4,1419024706,48300
4,1421319106,51060
4,1423613507,53820
4,1425907908,56580
4,1428202309,59340
4,1430496710,62100
4,1561949725,64860
4,1564244127,67620
4,1566538527,70380
4,1568832928,73140
4,1571127329,75900
4,1573421729,78660
4,1575716130,81420
4,1578010531,84180
4,1580304931,86940
4,1582599333,89700
4,1584893734,92460
4,1587188134,95220
4,1589482534,97980
4,1591776935,100740
4,1594071336,103500
4,1596365737,106260
4,1715199734,109020
4,1717494134,111780
4,1719788534,114540
4,1722082935,117300
4,1724377336,120060
4,1726671737,122820
4,1728966138,125580
4,1731260538,128340
4,1733554938,131100
4,1735849339,133860
4,1738143740,136620
4,1740438142,139380
4,1742732543,142140
4,1745026944,144900
4,1747321344,147660
4,1749615745,150420
4,1751910146,153180
4,1754204546,155940
4,1756498948,158700
4,1758793349,161460
4,1758793349,161460
4,1758793349,161460
4,1758793349,161460
4,1761087750,164220
4,1763382150,166980
4,1765676551,169740
4,1767970952,172500
4,1868449926,175260
4,1870744328,178020
4,1873038730,180780
4,1875333130,183540
4,1877627531,186300
4,1879921932,189060
4,1882216332,191820
4,1884510734,194580
4,1886805134,197340
4,1889099536,200100
4,1891393936,202860
4,1893688337,205620
4,1895982738,208380
4,1898277138,211140
4,1900571540,213900
4,1902865942,216660
4,1905160342,219420
4,1907454742,222180
4,1909749142,224940
4,1912043543,227700
4,1914337945,230460
4,1916632346,233220
4,1918926747,235980
4,1921221147,238740
4,1923515547,241500
4,1925809949,244260
4,1928104351,247020
4,1930398750,249780
4,1932693150,252540
4,1934987551,255300
4,1935590752,256000
4,1935633952,256000
