0,204092695,104000000
0,312616089,104500000
0,314910432,105187500
0,317204745,106164062
0,319499094,107268554
0,321793438,108484984
0,430397805,123174361
0,432692153,122777565
0,434986498,122430369
0,437280810,122126572
0,439575159,122110750
0,441869503,122096906
0,444163816,122209792
0,542892588,134558568
0,545186900,132113747
0,550922765,130349528
0,556658599,129555837
0,558952943,128861357
0,561247257,128253687
0,563541605,127971976
0,565835948,127725479
0,568130263,127634794
0,570424606,127805444
0,572718955,127829763
0,656530646,126101042
0,662266476,125338411
0,664560824,124546109
0,670296653,123977845
0,679474007,124605614
0,681768352,124654912
0,684062665,124823048
0,689798529,125595167
0,692092843,126270771
0,694387188,126861924
0,696681536,127629183
0,698975880,128300535
0,701270193,128887968
0,703564542,129651972
0,705858886,130320475
0,708153199,131030415
0,766723345,138901613
0,769017676,135663911
0,778195008,133205922
0,780489358,131305181
0,782783701,129642033
0,791961050,128561778
0,801138370,128866555
0,803432714,128258235
0,809168548,128225955
0,814904413,128822710
0,817198726,129344871
0,819493075,129426762
0,821787418,129748416
0,824081733,130029864
0,829817598,130651131
0,835553432,131944739
0,837847775,133076646
0,840142088,134192065
0,842436434,135418056
0,844730781,136365799
0,847025095,137320074
0,849319439,138405064
0,851613787,139354431
0,853908131,140060127
0,875188393,143427611
0,877482741,139374159
0,879777086,135702389
0,888954435,133614590
0,891248749,131037766
0,896984614,129158045
0,902720448,128263289
0,905014779,127605377
0,910750626,126529704
0,923369462,127213491
0,925663810,126811804
0,931399640,126960328
0,937135474,127840287
0,939429818,128110251
0,948607172,128846469
0,950901516,129740660
0,953195830,130523077
0,958931695,131582692
0,961226008,132884855
0,963520356,134024248
0,965814700,134896217
0,968109014,136034189
0,970403358,136654915
0,979580713,137573050
0,981875057,138626418
0,984169371,139673115
0,989905235,140838975
0,992199548,142234103
0,994493897,143454840
0,996788242,144522985
0,997391410,145582611
0,997434610,145582611
