req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,102,0,2,810535117,810535117,0,-1,2000,205
0,102,1,2,810535117,810535117,0,-1,2000,205
1,102,0,2,1025349959,1025349959,0,-1,2000,130
1,102,1,2,1025349959,1025349959,0,-1,2000,130
2,102,0,2,1840160585,1840160585,0,-1,2000,80
2,102,1,2,1840160585,1840160585,0,-1,2000,80
3,102,0,2,1934533957,1934533957,0,-1,790,99
3,102,1,2,1934533957,1934533957,0,-1,790,99
4,102,0,2,3818498247,3818498247,0,-1,2000,211
4,102,1,2,3818498247,3818498247,0,-1,2000,211
5,102,0,2,3952221077,3952221077,0,-1,1139,201
5,102,1,2,3952221077,3952221077,0,-1,1139,201
6,102,0,2,4703615829,4703615829,0,-1,2000,302
6,102,1,2,4703615829,4703615829,0,-1,2000,302
7,102,0,2,4727648785,4727648785,0,-1,124,116
7,102,1,2,4727648785,4727648785,0,-1,124,116
8,102,0,2,5164924129,5164924129,0,-1,2000,160
8,102,1,2,5164924129,5164924129,0,-1,2000,160
9,102,0,2,5861040589,5861040589,0,-1,2000,157
9,102,1,2,5861040589,5861040589,0,-1,2000,157
10,102,0,2,10817434913,10817434913,0,-1,2000,211
10,102,1,2,10817434913,10817434913,0,-1,2000,211
11,102,0,2,11470409040,11470409040,0,-1,2000,244
11,102,1,2,11470409040,11470409040,0,-1,2000,244
12,102,0,2,12415454439,12415454439,0,-1,1154,122
12,102,1,2,12415454439,12415454439,0,-1,1154,122
13,102,0,2,12731536002,12731536002,0,-1,962,184
13,102,1,2,12731536002,12731536002,0,-1,962,184
14,102,0,2,15251161149,15251161149,0,-1,1043,181
14,102,1,2,15251161149,15251161149,0,-1,1043,181
15,102,0,2,15811751959,15811751959,0,-1,2000,170
15,102,1,2,15811751959,15811751959,0,-1,2000,170
16,102,0,2,15906955818,15906955818,0,-1,720,235
16,102,1,2,15906955818,15906955818,0,-1,720,235
17,102,0,2,16077171548,16077171548,0,-1,1518,189
17,102,1,2,16077171548,16077171548,0,-1,1518,189
18,102,0,2,16814698809,16814698809,0,-1,2000,249
18,102,1,2,16814698809,16814698809,0,-1,2000,249
19,102,0,2,17075390453,17075390453,0,-1,2000,173
19,102,1,2,17075390453,17075390453,0,-1,2000,173
20,102,0,2,19022292809,19022292809,0,-1,351,184
20,102,1,2,19022292809,19022292809,0,-1,351,184
21,102,0,2,20499638361,20499638361,0,-1,220,221
21,102,1,2,20499638361,20499638361,0,-1,220,221
22,102,0,2,20547040453,20547040453,0,-1,341,114
22,102,1,2,20547040453,20547040453,0,-1,341,114
23,102,0,2,21120377570,21120377570,0,-1,145,114
23,102,1,2,21120377570,21120377570,0,-1,145,114
24,102,0,2,21351131688,21351131688,0,-1,2000,322
24,102,1,2,21351131688,21351131688,0,-1,2000,322
25,102,0,2,21852535611,21852535611,0,-1,2000,220
25,102,1,2,21852535611,21852535611,0,-1,2000,220
26,102,0,2,21899130580,21899130580,0,-1,227,260
26,102,1,2,21899130580,21899130580,0,-1,227,260
27,102,0,2,23316994874,23316994874,0,-1,857,175
27,102,1,2,23316994874,23316994874,0,-1,857,175
28,102,0,2,23408817990,23408817990,0,-1,347,98
28,102,1,2,23408817990,23408817990,0,-1,347,98
29,102,0,2,24543881984,24543881984,0,-1,1816,256
29,102,1,2,24543881984,24543881984,0,-1,1816,256
30,102,0,2,25480977977,25480977977,0,-1,153,288
30,102,1,2,25480977977,25480977977,0,-1,153,288
31,102,0,2,27377957181,27377957181,0,-1,427,251
31,102,1,2,27377957181,27377957181,0,-1,427,251
32,102,0,2,27765384204,27765384204,0,-1,1183,170
32,102,1,2,27765384204,27765384204,0,-1,1183,170
33,102,0,2,28375126986,28375126986,0,-1,686,193
33,102,1,2,28375126986,28375126986,0,-1,686,193
34,102,0,2,29484296950,29484296950,0,-1,1139,305
34,102,1,2,29484296950,29484296950,0,-1,1139,305
35,102,0,2,29897778734,29897778734,0,-1,2000,179
35,102,1,2,29897778734,29897778734,0,-1,2000,179
36,102,0,2,30367943903,30367943903,0,-1,1118,175
36,102,1,2,30367943903,30367943903,0,-1,1118,175
37,102,0,2,32798002537,32798002537,0,-1,2000,239
37,102,1,2,32798002537,32798002537,0,-1,2000,239
38,102,0,2,33239131125,33239131125,0,-1,1231,124
38,102,1,2,33239131125,33239131125,0,-1,1231,124
39,102,0,2,35093871053,35093871053,0,-1,2000,145
39,102,1,2,35093871053,35093871053,0,-1,2000,145
40,102,0,2,35797363356,35797363356,0,-1,1170,122
40,102,1,2,35797363356,35797363356,0,-1,1170,122
41,102,0,2,37177762578,37177762578,0,-1,2000,128
41,102,1,2,37177762578,37177762578,0,-1,2000,128
42,102,0,2,37479920245,37479920245,0,-1,1869,184
42,102,1,2,37479920245,37479920245,0,-1,1869,184
43,102,0,2,37523800713,37523800713,0,-1,283,134
43,102,1,2,37523800713,37523800713,0,-1,283,134
44,102,0,2,37795192469,37795192469,0,-1,1249,196
44,102,1,2,37795192469,37795192469,0,-1,1249,196
45,102,0,2,38400780257,38400780257,0,-1,2000,184
45,102,1,2,38400780257,38400780257,0,-1,2000,184
46,102,0,2,38687001390,38687001390,0,-1,1082,254
46,102,1,2,38687001390,38687001390,0,-1,1082,254
47,102,0,2,43940204478,43940204478,0,-1,891,160
47,102,1,2,43940204478,43940204478,0,-1,891,160
48,102,0,2,44059287838,44059287838,0,-1,971,215
48,102,1,2,44059287838,44059287838,0,-1,971,215
49,102,0,2,44819896143,44819896143,0,-1,525,244
49,102,1,2,44819896143,44819896143,0,-1,525,244
50,102,0,2,46089221591,46089221591,0,-1,283,86
50,102,1,2,46089221591,46089221591,0,-1,283,86
51,102,0,2,47729460760,47729460760,0,-1,473,261
51,102,1,2,47729460760,47729460760,0,-1,473,261
52,102,0,2,48857062472,48857062472,0,-1,1835,227
