1,0,0,0,0
2,0,1,0,1
3,0,2,0,1
4,0,3,0,1
5,0,6,1,0
6,0,7,1,0
7,0,8,1,0
8,0,9,1,0
9,0,0,1,2
10,0,0,0,1
11,0,1,0,2
12,0,2,0,2
13,0,12,1,2
14,0,13,1,2
15,0,16,2,1
16,0,17,2,1
17,0,7,0,2
18,0,8,0,2
19,0,9,0,2
20,0,10,0,2
21,0,11,0,3
22,0,12,0,3
23,0,22,1,2
24,0,23,1,2
25,0,26,2,1
26,0,27,2,1
27,0,17,0,3
28,0,18,0,3
29,0,19,0,3
30,0,20,0,2
31,0,21,0,3
32,0,22,0,3
33,0,32,1,2
34,0,33,1,2
35,0,36,2,1
36,0,37,2,1
37,0,27,0,3
38,0,28,0,3
39,0,29,0,3
40,0,30,0,2
41,0,31,0,3
42,0,32,0,3
43,0,42,1,2
44,0,43,1,2
45,0,46,2,1
46,0,47,2,1
47,0,37,0,3
48,0,38,0,3
49,0,39,0,3
50,0,60,2,0
51,0,61,3,0
52,0,62,3,0
53,0,52,1,2
54,0,53,1,2
55,0,56,2,1
56,0,57,2,1
57,0,67,3,0
58,0,68,3,0
59,0,69,3,0
60,0,70,2,0
61,0,71,3,0
62,0,72,3,0
63,0,62,1,2
64,0,63,1,2
65,0,66,2,1
66,0,67,2,1
67,0,77,3,0
68,0,78,3,0
69,0,79,3,0
70,0,80,2,0
71,0,81,3,0
72,0,82,3,0
73,0,72,1,2
74,0,73,1,2
75,0,76,2,1
76,0,77,2,1
77,0,87,3,0
78,0,88,3,0
79,0,89,3,0
80,0,90,2,0
81,0,91,3,0
82,0,92,3,0
83,0,82,1,2
84,0,83,1,2
85,0,86,2,1
86,0,87,2,1
87,0,97,3,0
88,0,98,3,0
89,0,99,3,0
90,0,0,2,3
91,0,1,3,3
92,0,2,3,3
93,0,92,1,2
94,0,93,1,2
95,0,96,2,1
96,0,97,2,1
97,0,7,3,3
98,0,8,3,3
99,0,9,3,3
100,0,61,0,4
101,0,41,0,4
102,0,24,0,4
103,0,29,0,4
104,0,-1,-1,-1
0,1,1,0,0
2,1,1,0,1
3,1,2,0,1
4,1,3,0,1
5,1,4,0,1
6,1,7,1,0
7,1,8,1,0
8,1,9,1,0
9,1,0,1,2
10,1,11,1,1
11,1,1,0,2
12,1,2,0,2
13,1,12,1,2
14,1,13,1,2
15,1,14,1,2
16,1,17,2,1
17,1,7,0,2
18,1,8,0,2
19,1,10,2,3
20,1,21,1,1
21,1,11,0,3
22,1,12,0,3
23,1,22,1,2
24,1,23,1,2
25,1,24,1,2
26,1,27,2,1
27,1,17,0,3
28,1,18,0,3
29,1,20,2,3
30,1,31,1,1
31,1,21,0,3
32,1,22,0,3
33,1,32,1,2
34,1,33,1,2
35,1,34,1,2
36,1,37,2,1
37,1,27,0,3
38,1,28,0,3
39,1,30,2,3
40,1,41,1,1
41,1,31,0,3
42,1,32,0,3
43,1,42,1,2
44,1,43,1,2
45,1,44,1,2
46,1,47,2,1
47,1,37,0,3
48,1,38,0,3
49,1,40,2,3
50,1,51,1,1
51,1,61,3,0
52,1,62,3,0
53,1,52,1,2
54,1,53,1,2
55,1,54,1,2
56,1,55,1,2
57,1,67,3,0
58,1,68,3,0
59,1,50,2,3
60,1,61,1,1
61,1,71,3,0
62,1,72,3,0
63,1,62,1,2
64,1,63,1,2
65,1,64,1,2
66,1,67,2,1
67,1,77,3,0
68,1,78,3,0
69,1,60,2,3
70,1,71,1,1
71,1,81,3,0
72,1,82,3,0
73,1,72,1,2
74,1,73,1,2
75,1,74,1,2
76,1,77,2,1
77,1,87,3,0
78,1,88,3,0
79,1,70,2,3
80,1,81,1,1
81,1,91,3,0
82,1,92,3,0
83,1,82,1,2
84,1,83,1,2
85,1,84,1,2
86,1,87,2,1
87,1,97,3,0
88,1,98,3,0
89,1,80,2,3
90,1,91,1,1
91,1,1,3,3
92,1,2,3,3
93,1,92,1,2
94,1,93,1,2
95,1,94,1,2
96,1,97,2,1
97,1,7,3,3
98,1,8,3,3
99,1,90,2,3
100,1,61,0,4
101,1,41,0,4
102,1,24,0,4
103,1,29,0,4
104,1,-1,-1,-1
0,2,1,0,0
1,2,2,1,0
3,2,2,0,1
4,2,3,0,1
5,2,4,0,1
6,2,5,0,1
7,2,8,1,0
8,2,9,1,0
9,2,0,1,2
10,2,11,1,1
11,2,12,2,1
12,2,2,0,2
13,2,12,1,2
14,2,13,1,2
15,2,14,1,2
16,2,15,1,2
17,2,7,0,2
18,2,19,2,1
19,2,10,2,3
20,2,21,1,1
21,2,22,2,1
22,2,12,0,3
23,2,22,1,2
24,2,23,1,2
25,2,24,1,2
26,2,25,1,2
27,2,28,2,1
28,2,29,2,1
29,2,20,2,3
30,2,31,1,1
31,2,32,2,1
32,2,22,0,3
33,2,32,1,2
34,2,33,1,2
35,2,34,1,2
36,2,35,1,2
37,2,27,0,3
38,2,39,2,1
39,2,30,2,3
40,2,41,1,1
41,2,42,2,1
42,2,32,0,3
43,2,42,1,2
44,2,43,1,2
45,2,44,1,2
46,2,45,1,2
47,2,48,2,1
48,2,49,2,1
49,2,40,2,3
50,2,51,1,1
51,2,52,2,1
52,2,62,3,0
53,2,52,1,2
54,2,53,1,2
55,2,54,1,2
56,2,55,1,2
57,2,56,1,2
58,2,59,2,1
59,2,50,2,3
60,2,61,1,1
61,2,62,2,1
62,2,72,3,0
63,2,62,1,2
64,2,63,1,2
65,2,64,1,2
66,2,65,1,2
67,2,68,2,1
68,2,69,2,1
69,2,60,2,3
70,2,71,1,1
71,2,72,2,1
72,2,82,3,0
73,2,72,1,2
74,2,73,1,2
75,2,74,1,2
76,2,75,1,2
77,2,76,1,2
78,2,79,2,1
79,2,70,2,3
80,2,81,1,1
81,2,82,2,1
82,2,92,3,0
83,2,82,1,2
84,2,83,1,2
85,2,84,1,2
86,2,85,1,2
87,2,88,2,1
88,2,89,2,1
89,2,80,2,3
90,2,91,1,1
91,2,92,2,1
92,2,2,3,3
93,2,92,1,2
94,2,93,1,2
95,2,94,1,2
96,2,95,1,2
97,2,96,1,2
98,2,99,2,1
99,2,90,2,3
100,2,33,0,4
101,2,41,0,4
102,2,24,0,4
103,2,29,0,4
104,2,-1,-1,-1
0,3,1,0,0
1,3,2,1,0
2,3,3,1,0
4,3,3,0,1
5,3,4,0,1
6,3,5,0,1
7,3,6,0,1
8,3,7,0,1
9,3,0,1,2
10,3,11,1,1
11,3,12,2,1
12,3,2,0,2
13,3,3,0,2
14,3,13,1,2
15,3,14,1,2
16,3,15,1,2
17,3,7,0,2
18,3,17,1,2
19,3,10,2,3
20,3,21,1,1
21,3,22,2,1
22,3,12,0,3
23,3,13,0,3
24,3,23,1,2
25,3,24,1,2
26,3,25,1,2
27,3,17,0,3
28,3,27,1,2
29,3,20,2,3
30,3,31,1,1
31,3,32,2,1
32,3,22,0,3
33,3,23,0,3
34,3,33,1,2
35,3,34,1,2
36,3,35,1,2
37,3,27,0,3
38,3,37,1,2
39,3,30,2,3
40,3,41,1,1
41,3,42,2,1
42,3,32,0,3
43,3,33,0,3
44,3,43,1,2
45,3,44,1,2
46,3,45,1,2
47,3,37,0,3
48,3,49,2,1
49,3,40,2,3
50,3,51,1,1
51,3,52,2,1
52,3,62,3,0
53,3,63,3,0
54,3,53,1,2
55,3,54,1,2
56,3,55,1,2
57,3,67,3,0
58,3,59,2,1
59,3,50,2,3
60,3,61,1,1
61,3,62,2,1
62,3,72,3,0
63,3,73,3,0
64,3,63,1,2
65,3,64,1,2
66,3,65,1,2
67,3,77,3,0
68,3,69,2,1
69,3,60,2,3
70,3,71,1,1
71,3,72,2,1
72,3,82,3,0
73,3,83,3,0
74,3,73,1,2
75,3,74,1,2
76,3,75,1,2
77,3,87,3,0
78,3,79,2,1
79,3,70,2,3
80,3,81,1,1
81,3,82,2,1
82,3,92,3,0
83,3,93,3,0
84,3,83,1,2
85,3,84,1,2
86,3,85,1,2
87,3,97,3,0
88,3,87,1,2
89,3,80,2,3
90,3,91,1,1
91,3,92,2,1
92,3,2,3,3
93,3,3,3,3
94,3,93,1,2
95,3,94,1,2
96,3,95,1,2
97,3,7,3,3
98,3,97,1,2
99,3,90,2,3
100,3,33,0,4
101,3,41,0,4
102,3,24,0,4
103,3,29,0,4
104,3,-1,-1,-1
0,4,1,0,0
1,4,2,1,0
2,4,3,1,0
3,4,4,1,0
5,4,4,0,1
6,4,5,0,1
7,4,6,0,1
8,4,7,0,1
9,4,8,0,1
10,4,11,1,1
11,4,12,2,1
12,4,2,0,2
13,4,3,0,2
14,4,4,0,2
15,4,14,1,2
16,4,6,0,2
17,4,7,0,2
18,4,17,1,2
19,4,18,1,2
20,4,21,1,1
21,4,22,2,1
22,4,12,0,3
23,4,13,0,3
24,4,14,0,3
25,4,24,1,2
26,4,16,0,3
27,4,17,0,3
28,4,27,1,2
29,4,28,1,2
30,4,31,1,1
31,4,32,2,1
32,4,22,0,3
33,4,23,0,3
34,4,24,0,3
35,4,34,1,2
36,4,26,0,3
37,4,27,0,3
38,4,37,1,2
39,4,38,1,2
40,4,41,1,1
41,4,42,2,1
42,4,32,0,3
43,4,33,0,3
44,4,34,0,3
45,4,44,1,2
46,4,36,0,3
47,4,37,0,3
48,4,47,1,2
49,4,48,1,2
50,4,51,1,1
51,4,52,2,1
52,4,62,3,0
53,4,63,3,0
54,4,64,3,0
55,4,54,1,2
56,4,66,3,0
57,4,67,3,0
58,4,57,1,2
59,4,58,1,2
60,4,61,1,1
61,4,62,2,1
62,4,72,3,0
63,4,73,3,0
64,4,74,3,0
65,4,64,1,2
66,4,76,3,0
67,4,77,3,0
68,4,67,1,2
69,4,68,1,2
70,4,71,1,1
71,4,72,2,1
72,4,82,3,0
73,4,83,3,0
74,4,84,3,0
75,4,74,1,2
76,4,86,3,0
77,4,87,3,0
78,4,77,1,2
79,4,78,1,2
80,4,81,1,1
81,4,82,2,1
82,4,92,3,0
83,4,93,3,0
