req_id,compute_sat_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,2,333884986,333884986,376044986,42160000,0,338,178
1,2,498530616,498530616,562610616,64080000,0,623,156
2,2,1611365283,1611365283,1682965283,71600000,0,686,218
3,2,1809449996,1809449996,1869569996,60120000,0,528,247
4,2,2401229242,2401229242,2460869242,59640000,0,555,181
5,2,2755458022,2755458022,2808378022,52920000,0,465,193
6,2,2816840611,2816840611,2867920611,51080000,0,419,239
