req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,2,333884986,333884986,0,1,1,60,338,178,274292459
1,2,497386619,498530616,1143997,2,2,60,623,156,437796846
2,2,1610221285,1611365283,1143998,2,2,60,686,218,1550650201
3,2,1808305999,1809449996,1143997,2,2,60,528,247,1748738227
4,2,2400085245,2401229242,1143997,2,2,60,555,181,2340527353
5,2,2754314025,2755458022,1143997,2,2,60,465,193,2694762025
6,2,2815696616,2816840611,1143995,2,2,60,419,239,2756145638
