req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,100,0,2,1088965048,1088965048,0,-1,327,259
0,100,1,2,1088965048,1088965048,0,-1,327,259
1,100,0,2,1830283962,1830283962,0,-1,565,150
1,100,1,2,1830283962,1830283962,0,-1,565,150
2,100,0,2,2796124053,2796124053,0,-1,501,232
2,100,1,2,2796124053,2796124053,0,-1,501,232
3,100,0,2,2963598420,2963598420,0,-1,678,199
3,100,1,2,2963598420,2963598420,0,-1,678,199
4,100,0,2,3547227167,3547227167,0,-1,618,196
4,100,1,2,3547227167,3547227167,0,-1,618,196
5,100,0,2,3614656041,3614656041,0,-1,495,169
5,100,1,2,3614656041,3614656041,0,-1,495,169
6,100,0,2,4040037505,4040037505,0,-1,488,121
6,100,1,2,4040037505,4040037505,0,-1,488,121
7,100,0,2,4284435674,4284435674,0,-1,706,236
7,100,1,2,4284435674,4284435674,0,-1,706,236
8,100,0,2,4972089952,4972089952,0,-1,402,218
8,100,1,2,4972089952,4972089952,0,-1,402,218
9,100,0,2,5027304879,5027304879,0,-1,384,159
9,100,1,2,5027304879,5027304879,0,-1,384,159
10,100,0,2,5103444210,5103444210,0,-1,584,156
10,100,1,2,5103444210,5103444210,0,-1,584,156
11,100,0,2,5441960450,5441960450,0,-1,481,287
11,100,1,2,5441960450,5441960450,0,-1,481,287
12,100,0,2,6755685010,6755685010,0,-1,326,312
12,100,1,2,6755685010,6755685010,0,-1,326,312
13,100,0,2,7211697005,7211697005,0,-1,525,143
13,100,1,2,7211697005,7211697005,0,-1,525,143
14,100,0,2,7422132178,7422132178,0,-1,502,226
14,100,1,2,7422132178,7422132178,0,-1,502,226
15,100,0,2,8500224458,8500224458,0,-1,341,161
15,100,1,2,8500224458,8500224458,0,-1,341,161
16,100,0,2,9667948353,9667948353,0,-1,517,261
16,100,1,2,9667948353,9667948353,0,-1,517,261
17,100,0,2,10795196181,10795196181,0,-1,342,264
17,100,1,2,10795196181,10795196181,0,-1,342,264
18,100,0,2,11444847285,11444847285,0,-1,466,188
18,100,1,2,11444847285,11444847285,0,-1,466,188
19,100,0,2,11873327201,11873327201,0,-1,536,104
19,100,1,2,11873327201,11873327201,0,-1,536,104
20,100,0,2,12527894676,12527894676,0,-1,660,270
20,100,1,2,12527894676,12527894676,0,-1,660,270
21,100,0,2,12682054646,12682054646,0,-1,405,154
21,100,1,2,12682054646,12682054646,0,-1,405,154
22,100,0,2,12747187300,12747187300,0,-1,401,260
22,100,1,2,12747187300,12747187300,0,-1,401,260
23,100,0,2,13128380314,13128380314,0,-1,537,220
23,100,1,2,13128380314,13128380314,0,-1,537,220
24,100,0,2,13181163017,13181163017,0,-1,322,214
24,100,1,2,13181163017,13181163017,0,-1,322,214
25,100,0,2,14515604615,14515604615,0,-1,427,231
25,100,1,2,14515604615,14515604615,0,-1,427,231
26,100,0,2,14751016684,14751016684,0,-1,393,251
26,100,1,2,14751016684,14751016684,0,-1,393,251
27,100,0,2,14997903546,14997903546,0,-1,572,268
27,100,1,2,14997903546,14997903546,0,-1,572,268
28,100,0,2,15821412117,15821412117,0,-1,359,195
28,100,1,2,15821412117,15821412117,0,-1,359,195
29,100,0,2,16026990336,16026990336,0,-1,544,165
29,100,1,2,16026990336,16026990336,0,-1,544,165
30,100,0,2,16732881346,16732881346,0,-1,584,194
30,100,1,2,16732881346,16732881346,0,-1,584,194
31,100,0,2,17412016551,17412016551,0,-1,523,284
31,100,1,2,17412016551,17412016551,0,-1,523,284
32,100,0,2,18127475287,18127475287,0,-1,364,155
32,100,1,2,18127475287,18127475287,0,-1,364,155
33,100,0,2,18287161872,18287161872,0,-1,524,146
33,100,1,2,18287161872,18287161872,0,-1,524,146
34,100,0,2,18414878532,18414878532,0,-1,392,218
34,100,1,2,18414878532,18414878532,0,-1,392,218
35,100,0,2,18658254960,18658254960,0,-1,514,199
35,100,1,2,18658254960,18658254960,0,-1,514,199
36,100,0,2,18738533802,18738533802,0,-1,631,159
36,100,1,2,18738533802,18738533802,0,-1,631,159
37,100,0,2,19608779231,19608779231,0,-1,356,208
37,100,1,2,19608779231,19608779231,0,-1,356,208
38,100,0,2,20281555568,20281555568,0,-1,571,164
38,100,1,2,20281555568,20281555568,0,-1,571,164
39,100,0,2,22148753638,22148753638,0,-1,537,146
39,100,1,2,22148753638,22148753638,0,-1,537,146
40,100,0,2,22710231619,22710231619,0,-1,598,210
40,100,1,2,22710231619,22710231619,0,-1,598,210
41,100,0,2,23408580982,23408580982,0,-1,449,227
41,100,1,2,23408580982,23408580982,0,-1,449,227
42,100,0,2,23464222809,23464222809,0,-1,381,172
42,100,1,2,23464222809,23464222809,0,-1,381,172
43,100,0,2,23748593528,23748593528,0,-1,504,200
43,100,1,2,23748593528,23748593528,0,-1,504,200
44,100,0,2,24418805078,24418805078,0,-1,487,132
44,100,1,2,24418805078,24418805078,0,-1,487,132
45,100,0,2,24505592159,24505592159,0,-1,659,194
45,100,1,2,24505592159,24505592159,0,-1,659,194
46,100,0,2,24688858640,24688858640,0,-1,330,52
46,100,1,2,24688858640,24688858640,0,-1,330,52
47,100,0,2,24774719009,24774719009,0,-1,606,235
47,100,1,2,24774719009,24774719009,0,-1,606,235
48,100,0,2,25059742432,25059742432,0,-1,489,242
48,100,1,2,25059742432,25059742432,0,-1,489,242
49,100,0,2,25108835698,25108835698,0,-1,335,148
49,100,1,2,25108835698,25108835698,0,-1,335,148
50,100,0,2,25879980079,25879980079,0,-1,519,237
50,100,1,2,25879980079,25879980079,0,-1,519,237
51,100,0,2,26194213082,26194213082,0,-1,601,228
51,100,1,2,26194213082,26194213082,0,-1,601,228
52,100,0,2,26262847266,26262847266,0,-1,435,282
52,100,1,2,26262847266,26262847266,0,-1,435,282
53,100,0,2,26322342124,26322342124,0,-1,464,123
53,100,1,2,26322342124,26322342124,0,-1,464,123
54,100,0,2,26553426494,26553426494,0,-1,520,219
