req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
92,894,8769151375,8770295375,1144000,2,2,1584,493,197,8682492942
93,894,9031518475,9032662475,1144000,2,2,1584,679,196,8944865041
94,894,9240917009,9242061009,1144000,2,2,1584,416,173,9154267583
95,894,9305546914,9306690915,1144001,2,2,1584,636,234,9218898710
96,894,9378217184,9379361184,1144000,2,2,1584,637,113,9291570372
97,894,9499262258,9500406258,1144000,2,2,1584,407,230,9412617753
98,894,9747046705,9748190705,1144000,2,2,1584,501,174,9660406925
99,894,9857868365,9859012365,1144000,2,2,1584,663,205,9771230698
100,894,9897711665,9898855665,1144000,2,2,1584,497,224,9811074759
101,894,9999737838,10000881838,1144000,2,2,1584,479,175,9913102875
102,894,10153464777,10154608777,1144000,2,2,1584,413,179,10066832722
103,894,10229851556,10230995556,1144000,2,2,1584,500,320,10143220966
