req_id,compute_sat_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,32,586997114,586997114,660677114,73680000,0,721,200
1,32,1442252882,1442252882,1507732882,65480000,0,580,277
2,32,1497968385,1507732882,1556372882,48640000,9764497,383,250
3,32,1556209848,1556372882,1625692882,69320000,163034,682,169
4,32,2119459783,2119459783,2191739783,72280000,0,674,259
5,32,2164998557,2191739783,2257779783,66040000,26741226,624,203
6,32,2775066967,2775066967,2837866967,62800000,0,560,250
7,32,2834687436,2837866967,2915426967,77560000,3179531,748,243
8,32,3079277236,3079277236,3139877236,60600000,0,503,309
9,32,3339466158,3339466158,3404226158,64760000,0,582,255
