req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,32,584709112,586997114,2288002,3,3,63,721,200,505340758
1,32,1441108882,1442252882,1144000,2,2,63,580,277,1361740038
2,32,1496824384,1497968385,1144001,2,2,63,383,250,1417455508
3,32,1555065847,1556209848,1144001,2,2,63,682,169,1475696937
4,32,2118315781,2119459783,1144002,2,2,63,674,259,2038946531
5,32,2163854556,2164998557,1144001,2,2,63,624,203,2084485277
6,32,2773922966,2775066967,1144001,2,2,63,560,250,2694553304
7,32,2832399436,2834687436,2288000,3,3,63,748,243,2753029734
8,32,3078133236,3079277236,1144000,2,2,63,503,309,2998763376
9,32,3338322156,3339466158,1144002,2,2,63,582,255,3258952126
