req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
91,3,103,9238458983,11986295948,12206395948,220100000,2747836965,2000,202
92,3,103,9353617654,12206395948,12416445948,210050000,2852778294,2000,1
93,3,103,9448103283,12416445948,12504345948,87900000,2968342665,604,350
94,3,103,9574011039,12504345948,12646945948,142600000,2930334909,1198,256
95,3,103,9743754683,12646945948,12861595948,214650000,2903191265,2000,93
96,3,103,9851878614,12861595948,12913895948,52300000,3009717334,265,316
97,3,103,9924409113,12913895948,13131145948,217250000,2989486835,2000,145
98,3,103,10071922032,13131145948,13214445948,83300000,3059223916,696,74
99,3,103,10279870814,13214445948,13262695948,48250000,2934575134,358,49
100,3,103,10541104220,13262695948,13301745948,39050000,2721591728,247,87
101,3,103,10571074083,13301745948,13516195948,214450000,2730671865,2000,89
102,3,103,10573566051,13516195948,13562345948,46150000,2942629897,270,183
103,3,103,10766848677,13562345948,13770145948,207800000,2795497271,1919,118
104,3,103,10770323602,13770145948,13881395948,111250000,2999822346,895,235
105,3,103,10787184100,13881395948,13927195948,45800000,3094211848,232,252
106,3,103,10838670349,13927195948,14142445948,215250000,3088525599,2000,105
107,3,103,10933542808,14142445948,14273645948,131200000,3208903140,1095,234
108,3,103,10958714878,14273645948,14376995948,103350000,3314931070,763,341
109,3,103,11023849965,14376995948,14476545948,99550000,3353145983,895,1
110,3,103,11035578273,14476545948,14534445948,57900000,3440967675,371,216
111,3,103,11130681518,14534445948,14558895948,24450000,3403764430,113,63
112,3,103,11459741941,14558895948,14760545948,201650000,3099154007,1835,163
113,3,103,11538156955,14760545948,14976945948,216400000,3222388993,2000,128
114,3,103,11564608814,14976945948,15176045948,199100000,3412337134,1805,172
115,3,103,11633624696,15176045948,15399145948,223100000,3542421252,2000,262
116,3,103,11968277320,15399145948,15534845948,135700000,3430868628,1121,272
117,3,103,11992618408,15534845948,15751745948,216900000,3542227540,2000,138
118,3,103,11995232806,15751745948,15844995948,93250000,3756513142,757,151
119,3,103,12027439681,15844995948,16067695948,222700000,3817556267,2000,254
120,3,103,12052057563,16067695948,16155095948,87400000,4015638385,544,460
121,3,103,12106597677,16155095948,16211945948,56850000,4048498271,347,243
122,3,103,12132549013,16211945948,16265845948,53900000,4079396935,386,106
123,3,103,12225873438,16265845948,16480845948,215000000,4039972510,2000,100
124,3,103,12298566742,16480845948,16584995948,104150000,4182279206,921,41
125,3,103,12325994795,16584995948,16814145948,229150000,4259001153,2000,383
126,3,103,12597852305,16814145948,16882495948,68350000,4216293643,583,1
127,3,103,12627581397,16882495948,17029345948,146850000,4254914551,1321,95
128,3,103,12678877087,17029345948,17093495948,64150000,4350468861,448,187
129,3,103,12700451946,17093495948,17198145948,104650000,4393044002,946,1
130,3,103,12723386265,17198145948,17291895948,93750000,4474759683,770,135
131,3,103,12862249247,17291895948,17341895948,50000000,4429646701,239,322
132,3,103,12891646266,17341895948,17521345948,179450000,4450249682,1605,179
133,3,103,12978382019,17521345948,17742295948,220950000,4542963929,2000,219
134,3,103,13087113003,17742295948,17864445948,122150000,4655182945,992,259
135,3,103,13144942304,17864445948,17918045948,53600000,4719503644,280,312
136,3,103,13400219889,17918045948,17978745948,60700000,4517826059,386,242
137,3,103,13534175933,17978745948,18085745948,107000000,4444570015,895,150
138,3,103,13798757426,18085745948,18178445948,92700000,4286988522,810,34
139,3,103,14225344460,18178445948,18227745948,49300000,3953101488,362,62
140,3,103,14292691643,18227745948,18444495948,216750000,3935054305,2000,135
141,3,103,14316437282,18444495948,18479195948,34700000,4128058666,166,162
142,3,103,14411243780,18479195948,18703345948,224150000,4067952168,2000,283
143,3,103,14423818184,18703345948,18832995948,129650000,4279527764,1139,115
144,3,103,14922226680,18832995948,18901345948,68350000,3910769268,580,7
145,3,103,15004986458,18901345948,19113995948,212650000,3896359490,2000,53
146,3,103,15032729876,19113995948,19257295948,143300000,4081266072,1262,142
147,3,103,15083744612,19257295948,19425395948,168100000,4173551336,1468,226
148,3,103,15155242884,19425395948,19638245948,212850000,4270153064,2000,57
149,3,103,15202245480,19638245948,19753845948,115600000,4436000468,888,336
150,3,103,15557629574,19753845948,19863445948,109600000,4196216374,974,44
151,3,103,15604378634,19863445948,20084845948,221400000,4259067314,2000,228
152,3,103,15651245775,20084845948,20144195948,59350000,4433600173,386,215
153,3,103,15684430504,20144195948,20336245948,192050000,4459765444,1765,111
154,3,103,15720958431,20336245948,20364995948,28750000,4615287517,97,181
