req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,100,0,2,697284145,697284145,0,-1,1688,168
0,100,1,2,697284145,697284145,0,-1,1688,168
1,100,0,2,1095868345,1095868345,0,-1,2000,249
1,100,1,2,1095868345,1095868345,0,-1,2000,249
2,100,0,2,1276857618,1276857618,0,-1,1139,157
2,100,1,2,1276857618,1276857618,0,-1,1139,157
3,100,0,2,1369445110,1369445110,0,-1,636,318
3,100,1,2,1369445110,1369445110,0,-1,636,318
4,100,0,2,1409388217,1409388217,0,-1,283,112
4,100,1,2,1409388217,1409388217,0,-1,283,112
5,100,0,2,1696431672,1696431672,0,-1,1068,95
5,100,1,2,1696431672,1696431672,0,-1,1068,95
6,100,0,2,1924320509,1924320509,0,-1,2000,285
6,100,1,2,1924320509,1924320509,0,-1,2000,285
7,100,0,2,2081425325,2081425325,0,-1,1321,296
7,100,1,2,2081425325,2081425325,0,-1,1321,296
8,100,0,2,2262078715,2262078715,0,-1,1715,70
8,100,1,2,2262078715,2262078715,0,-1,1715,70
9,100,0,2,2295706574,2295706574,0,-1,166,121
9,100,1,2,2295706574,2295706574,0,-1,166,121
10,100,0,2,2522127455,2522127455,0,-1,2000,271
10,100,1,2,2522127455,2522127455,0,-1,2000,271
11,100,0,2,2691568134,2691568134,0,-1,1578,99
11,100,1,2,2691568134,2691568134,0,-1,1578,99
12,100,0,2,2749989049,2749989049,0,-1,263,348
12,100,1,2,2749989049,2750041833,52784,-1,263,348
13,100,0,2,2977529834,2977529834,0,-1,2000,351
13,100,1,2,2977529834,2977592204,62370,-1,2000,351
14,100,0,2,3103312259,3103312259,0,-1,1139,123
14,100,1,2,3103312259,3103312259,0,-1,1139,123
15,100,0,2,3335165362,3335165362,0,-1,2000,352
15,100,1,2,3335165362,3335230947,65585,-1,2000,352
16,100,0,2,3556316785,3556316785,0,-1,2000,257
16,100,1,2,3556316785,3556316785,0,-1,2000,257
17,100,0,2,3695591159,3695591159,0,-1,1147,282
17,100,1,2,3695591159,3695591159,0,-1,1147,282
18,100,0,2,3744711187,3744711187,0,-1,226,317
18,100,1,2,3744711187,3744711187,0,-1,226,317
19,100,0,2,3974139526,3974139526,0,-1,2000,378
19,100,1,2,3974139526,3974288311,148785,-1,2000,378
20,100,0,2,4178186413,4178186413,0,-1,1885,176
20,100,1,2,4178186413,4178186413,0,-1,1885,176
21,100,0,2,4245897307,4245897307,0,-1,449,234
21,100,1,2,4245897307,4245897307,0,-1,449,234
22,100,0,2,4476569217,4476569217,0,-1,2000,371
22,100,1,2,4476569217,4476695603,126386,-1,2000,371
23,100,0,2,4698205065,4698205065,0,-1,2000,264
23,100,1,2,4698205065,4698205065,0,-1,2000,264
24,100,0,2,4759409384,4759409384,0,-1,360,293
24,100,1,2,4759409384,4759409384,0,-1,360,293
25,100,0,2,4899348915,4899348915,0,-1,1218,199
25,100,1,2,4899348915,4899348915,0,-1,1218,199
26,100,0,2,4938064982,4938064982,0,-1,151,252
26,100,1,2,4938064982,4938064982,0,-1,151,252
27,100,0,2,5077538130,5077538130,0,-1,1211,191
27,100,1,2,5077538130,5077538130,0,-1,1211,191
