req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,0,433219822,437709419,4489597,2,2,100,1688,0,219023575
1,0,793973395,799504591,5531196,2,2,100,2000,0,579821153
2,0,1070278039,1072967637,2689598,2,2,100,1139,0,856159492
3,0,1078619728,1079613328,993600,2,2,100,636,0,864502188
4,0,1273256942,1273256942,0,2,2,100,283,0,1060238455
5,0,1501486757,1503949155,2462398,2,2,100,1068,0,1287420753
6,0,1542779169,1548310365,5531196,2,2,100,2000,0,1328718209
7,0,1659081862,1662353859,3271997,2,2,100,1321,0,1445035065
8,0,1701081928,1705657925,4575997,2,2,100,1715,0,1487040245
9,0,1729079806,1729079806,0,2,2,100,166,0,1518363489
10,0,2032694421,2038225617,5531196,2,2,100,2000,0,1818693097
11,0,2238200938,2242338535,4137597,2,2,100,1578,0,2024224619
12,0,2265975508,2265975508,0,2,2,100,263,0,2053461929
13,0,2299713296,2305244492,5531196,2,2,100,2000,0,2085744471
14,0,2704799940,2707489538,2689598,2,2,100,1139,0,2490880369
15,0,2737714239,2743245435,5531196,2,2,100,2000,0,2523798671
16,0,2836393255,2841924451,5531196,2,2,100,2000,0,2622489668
17,0,3165631675,3168346872,2715197,2,2,100,1147,0,2951768085
18,0,3258512696,3258512696,0,2,2,100,226,0,3046830233
19,0,3264731507,3270262703,5531196,2,2,100,2000,0,3050879955
20,0,3321332680,3326495875,5163195,2,2,100,1885,0,3107487999
21,0,3506061339,3506456539,395200,2,2,100,449,0,3292239088
22,0,3510593094,3516124290,5531196,2,2,100,2000,0,3296771382
23,0,4056977486,4062508682,5531196,2,2,100,2000,0,3843222072
24,0,4069221429,4069331830,110401,2,2,100,360,0,3855467493
25,0,4079940986,4082883384,2942398,2,2,100,1218,0,3866188360
26,0,4232694243,4232694243,0,2,2,100,151,0,4022570123
27,0,4271476132,4274396130,2919998,2,2,100,1211,0,4057746708
28,0,4403145204,4403145204,0,2,2,100,179,0,4192504074
29,0,4447647678,4447647678,0,2,2,100,99,0,4238548117
30,0,5042265915,5047797111,5531196,2,2,100,2000,0,4828629853
31,0,5074999420,5080530616,5531196,2,2,100,2000,0,4861367310
32,0,5103259036,5108790232,5531196,2,2,100,2000,0,4889630355
33,0,5563991991,5569523187,5531196,2,2,100,2000,0,5350419025
34,0,5570713586,5570839986,126400,2,2,100,365,0,5356846812
35,0,5658928125,5661617723,2689598,2,2,100,1139,0,5445366649
36,0,5663103778,5663927778,824000,2,2,100,583,0,5449542806
37,0,5768821189,5774352385,5531196,2,2,100,2000,0,5555273006
38,0,5919005022,5921149020,2143998,2,2,100,982,0,5704792948
39,0,6413081530,6413585529,503999,2,2,100,483,0,6199611155
40,0,6540402078,6541618076,1215998,2,2,100,692,0,6326947047
41,0,6630017446,6633851042,3833596,2,2,100,1483,0,6416573242
42,0,6778434521,6781460118,3025597,2,2,100,1244,0,6563603741
43,0,6852167180,6852370380,203200,2,2,100,389,0,6634579550
44,0,6922383763,6922383763,0,2,2,100,149,0,6703224369
45,0,6967575117,6967575117,0,2,2,100,84,0,6759068161
46,0,7166442934,7166442934,0,2,2,100,154,0,6956615797
47,0,7543096359,7543096359,0,2,2,100,117,0,7334025091
48,0,7583404674,7583404674,0,2,2,100,113,0,7374415063
49,0,7858200023,7859803222,1603199,2,2,100,813,0,7644903815
50,0,7936471591,7936969190,497599,2,2,100,481,0,7723184795
51,0,8306655694,8312186890,5531196,2,2,100,2000,0,8093413445
52,0,8572366304,8577897500,5531196,2,2,100,2000,0,8359155991
53,0,8700231226,8705762422,5531196,2,2,100,2000,0,8487036287
54,0,8922531194,8925847991,3316797,2,2,100,1335,0,8709362967
55,0,8987451721,8991675718,4223997,2,2,100,1605,0,8774291293
56,0,9049098799,9054463594,5364795,2,2,100,1948,0,8835945760
57,0,9198852919,9204384115,5531196,2,2,100,2000,0,8975596899
58,0,9204899314,9204899314,0,2,2,100,128,0,8976337490
59,0,9212903175,9218434371,5531196,2,2,100,2000,0,8999769809
60,0,9305588883,9311120079,5531196,2,2,100,2000,0,9092466633
61,0,9433329647,9433329647,0,2,2,100,292,0,9221125223
62,0,9457256916,9462788112,5531196,2,2,100,2000,0,9244152864
63,0,9516981050,9516981050,0,2,2,100,324,0,9303333894
64,0,9727967600,9727967600,0,2,2,100,148,0,9518563596
65,0,9849780897,9849780897,0,2,2,100,323,0,9637031156
66,0,9872303097,9872378296,75199,2,2,100,349,0,9658870336
67,0,10056443573,10057171573,728000,2,2,100,553,0,9843411363
68,0,10228830708,10234361904,5531196,2,2,100,2000,0,10015819149
69,0,10451852464,10451852464,0,2,2,100,268,0,10240230949
70,0,10870545702,10873180899,2635197,2,2,100,1122,0,10657610945
71,0,10914533967,10914533967,0,2,2,100,251,0,10703294257
72,0,11284829781,11287260178,2430397,2,2,100,1058,0,11071944562
73,0,11534207219,11536602417,2395198,2,2,100,1047,0,11321351787
74,0,11539576614,11545107810,5531196,2,2,100,2000,0,11326721816
75,0,11590453598,11591472798,1019200,2,2,100,644,0,11377604884
76,0,11871666931,11877198127,5531196,2,2,100,2000,0,11658851782
77,0,11980679557,11985503553,4823996,2,2,100,1779,0,11767877416
78,0,12029020048,12031709646,2689598,2,2,100,1139,0,11814226122
79,0,12037756842,12037950441,193599,2,2,100,386,0,11824961534
80,0,12057899049,12059307047,1407998,2,2,100,752,0,11845106143
81,0,12086553370,12086553370,0,2,2,100,146,0,11877469875
82,0,12175861525,12176231124,369599,2,2,100,441,0,11956630962
83,0,12443454489,12444942487,1487998,2,2,100,777,0,12230707549
84,0,12488665110,12488893910,228800,2,2,100,397,0,12275923549
85,0,12518389933,12519105133,715200,2,2,100,549,0,12305651920
86,0,12522169870,12526387466,4217596,2,2,100,1603,0,12309432309
87,0,12670500049,12673397647,2897598,2,2,100,1204,0,12452449233
88,0,12753558900,12756834097,3275197,2,2,100,1322,0,12540848913
89,0,12997505742,13003036938,5531196,2,2,100,2000,0,12784824814
90,0,13451405345,13451486945,81600,2,2,100,351,0,13238778424
91,0,13557583762,13559969359,2385597,2,2,100,1044,0,13344969460
92,0,13647685819,13649193018,1507199,2,2,100,783,0,13435082253
93,0,13762441754,13767972950,5531196,2,2,100,2000,0,13549851818
94,0,13800524609,13806055805,5531196,2,2,100,2000,0,13587939192
95,0,13806829318,13806829318,0,2,2,100,134,0,13598181086
96,0,13909719729,13909719729,0,2,2,100,108,0,13691655378
97,0,14031174749,14036705945,5531196,2,2,100,2000,0,13817194092
98,0,14088059551,14093590747,5531196,2,2,100,2000,0,13875508297
99,0,14436676700,14442207896,5531196,2,2,100,2000,0,14224166849
100,0,14446795245,14446795245,0,2,2,100,164,0,14237646938
101,0,14568816680,14569336679,519999,2,2,100,488,0,14356322503
102,0,14679696277,14681184275,1487998,2,2,100,777,0,14467215266
103,0,14900261597,14904248794,3987197,2,2,100,1531,0,14687806719
104,0,15149901103,15152309100,2407997,2,2,100,1051,0,14937475821
105,0,15638036340,15639735538,1699198,2,2,100,843,0,15425668848
106,0,15664893033,15669437029,4543996,2,2,100,1705,0,15452528728
107,0,15783601730,15786720127,3118397,2,2,100,1273,0,15565770659
108,0,16054400273,16056541072,2140799,2,2,100,981,0,15842082046
109,0,16114553109,16114553109,0,2,2,100,283,0,15903317302
110,0,16165170546,16167234544,2063998,2,2,100,957,0,15952865406
111,0,16344786645,16348167442,3380797,2,2,100,1355,0,16132502739
112,0,16710636702,16715614298,4977596,2,2,100,1827,0,16498396009
113,0,16755467279,16760998475,5531196,2,2,100,2000,0,16543231883
114,0,16774226684,16774797884,571200,2,2,100,504,0,16561993481
115,0,17057245889,17062777085,5531196,2,2,100,2000,0,16845046094
116,0,17430739374,17430891374,152000,2,2,100,373,0,17218583606
