req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,2,102,182678094,182678094,394028094,211350000,0,2000,27
1,2,102,189446139,394028094,617278094,223250000,204581955,2000,265
2,2,102,293657836,617278094,837328094,220050000,323620258,2000,201
3,2,102,320610549,837328094,945228094,107900000,516717545,790,378
4,2,102,444335172,945228094,1171128094,225900000,500892922,2000,318
5,2,102,506042372,1171128094,1304778094,133650000,665085722,1139,195
6,2,102,558943845,1304778094,1524178094,219400000,745834249,2000,188
7,2,102,571445646,1524178094,1566878094,42700000,952732448,124,406
8,2,102,617026835,1566878094,1781978094,215100000,949851259,2000,102
9,2,102,682431078,1781978094,1996178094,214200000,1099547016,2000,84
10,2,102,1305059667,1996178094,2220378094,224200000,691118427,2000,284
11,2,102,1385814234,2220378094,2439428094,219050000,834563860,2000,181
12,2,102,1516184978,2439428094,2566128094,126700000,923243116,1154,26
13,2,102,1549144252,2566128094,2683578094,117450000,1016983842,962,225
14,2,102,2014656322,2683578094,2807978094,124400000,668921772,1043,202
15,2,102,2077634615,2807978094,3020028094,212050000,730343479,2000,41
16,2,102,2093737819,3020028094,3112878094,92850000,926290275,720,217
17,2,102,2155801597,3112878094,3276778094,163900000,957076497,1518,42
18,2,102,2166563491,3276778094,3495078094,218300000,1110214603,2000,166
19,2,102,2188642376,3495078094,3716878094,221800000,1306435718,2000,236
20,2,102,2459464871,3716878094,3779978094,63100000,1257413223,351,360
21,2,102,2649070912,3779978094,3817228094,37250000,1130907182,220,105
22,2,102,2656137807,3817228094,3866378094,49150000,1161090287,341,101
23,2,102,2739532991,3866378094,3902728094,36350000,1126845103,145,237
24,2,102,2760087252,3902728094,4113828094,211100000,1142640842,2000,22
25,2,102,2784585929,4113828094,4330178094,216350000,1329242165,2000,127
26,2,102,2785417926,4330178094,4367528094,37350000,1544760168,227,93
27,2,102,3149662461,4367528094,4476828094,109300000,1217865633,857,272
28,2,102,3180805846,4476828094,4524478094,47650000,1296022248,347,59
29,2,102,3293990817,4524478094,4728278094,203800000,1230487277,1816,244
30,2,102,3385791561,4728278094,4767778094,39500000,1342486533,153,284
31,2,102,3634705664,4767778094,4831628094,63850000,1133072430,427,223
32,2,102,3697253109,4831628094,4963128094,131500000,1134374985,1183,64
33,2,102,3765994669,4963128094,5052928094,89800000,1197133425,686,224
34,2,102,3978045112,5052928094,5181428094,128500000,1074882982,1139,92
35,2,102,4091376083,5181428094,5402128094,220700000,1090052011,2000,214
36,2,102,4133463110,5402128094,5540478094,138350000,1268664984,1118,331
37,2,102,4531657783,5540478094,5753278094,212800000,1008820311,2000,56
38,2,102,4606427347,5753278094,5899928094,146650000,1146850747,1231,271
39,2,102,4956887669,5899928094,6121778094,221850000,943040425,2000,237
40,2,102,5012806698,6121778094,6263678094,141900000,1108971396,1170,298
41,2,102,5157383947,6263678094,6481128094,217450000,1106294147,2000,149
42,2,102,5181500881,6481128094,6682078094,200950000,1299627213,1869,81
43,2,102,5182512080,6682078094,6730578094,48500000,1499566014,283,204
44,2,102,5251122329,6730578094,6874828094,144250000,1479455765,1249,187
45,2,102,5303699127,6874828094,7102778094,227950000,1571128967,2000,359
46,2,102,5359154638,7102778094,7222478094,119700000,1743623456,1082,30
47,2,102,6194439890,7222478094,7336878094,114400000,1028038204,891,306
48,2,102,6228015658,7336878094,7453428094,116550000,1108862436,971,189
49,2,102,6300618220,7453428094,7517678094,64250000,1152809874,525,35
50,2,102,6412927996,7517678094,7566928094,49250000,1104750098,283,219
51,2,102,6626908685,7566928094,7639278094,72350000,940019409,473,301
52,2,102,6777776364,7639278094,7839528094,200250000,861501730,1835,135
53,2,102,6810789832,7839528094,8010428094,170900000,1028738262,1527,164
54,2,102,6867578710,8010428094,8104828094,94400000,1142849384,734,220
55,2,102,6988846139,8104828094,8325178094,220350000,1115981955,2000,207
56,2,102,7181118210,8325178094,8521228094,196050000,1144059884,1722,277
57,2,102,7244763978,8521228094,8657578094,136350000,1276464116,1170,187
58,2,102,7251453566,8657578094,8706278094,48700000,1406124528,329,116
59,2,102,7266392846,8706278094,8854428094,148150000,1439885248,1271,221
60,2,102,7288837044,8854428094,8963378094,108950000,1565591050,988,3
61,2,102,7301614116,8963378094,9020778094,57400000,1661763978,315,318
62,2,102,7317687057,9020778094,9235628094,214850000,1703091037,2000,97
63,2,102,7345545645,9235628094,9434928094,199300000,1890082449,1797,192
64,2,102,7413403116,9434928094,9574478094,139550000,2021524978,1139,313
65,2,102,7452815908,9574478094,9684128094,109650000,2121662186,847,299
66,2,102,7511663277,9684128094,9812278094,128150000,2172464817,1087,189
67,2,102,7518359319,9812278094,10029478094,217200000,2293918775,1992,160
68,2,102,7525080969,10029478094,10244778094,215300000,2504397125,2000,106
69,2,102,7600900194,10244778094,10312028094,67250000,2643877900,387,371
70,2,102,7729902342,10312028094,10526628094,214600000,2582125752,2000,92
71,2,102,7869846269,10526628094,10679628094,153000000,2656781825,1154,552
72,2,102,7939883414,10679628094,10772178094,92550000,2739744680,664,323
73,2,102,8082804724,10772178094,10918428094,146250000,2689373370,1240,245
74,2,102,8275290912,10918428094,11115628094,197200000,2643137182,1742,260
75,2,102,8389430104,11115628094,11329978094,214350000,2726197990,2000,87
76,2,102,8429956282,11329978094,11476828094,146850000,2900021812,1248,241
77,2,102,8464330862,11476828094,11550478094,73650000,3012497232,564,145
78,2,102,8503521126,11550478094,11584428094,33950000,3046956968,146,187
79,2,102,8508053892,11584428094,11654278094,69850000,3076374202,598,1
80,2,102,8537404072,11654278094,11760128094,105850000,3116874022,897,123
81,2,102,8580896612,11760128094,11924378094,164250000,3179231482,1407,271
82,2,102,8582327008,11924378094,11981028094,56650000,3342051086,386,161
83,2,102,8686674834,11981028094,12046828094,65800000,3294353260,388,340
84,2,102,8740378143,12046828094,12089928094,43100000,3306449951,160,342
85,2,102,8840609414,12089928094,12248878094,158950000,3249318680,1416,147
86,2,102,8869775710,12248878094,12466978094,218100000,3379102384,2000,162
87,2,102,8871102124,12466978094,12525878094,58900000,3595875970,368,242
88,2,102,8871655724,12525878094,12563128094,37250000,3654222370,140,265
89,2,102,9178934462,12563128094,12785778094,222650000,3384193632,2000,253
90,2,102,9199228901,12785778094,12862228094,76450000,3586549193,555,219
91,2,102,9357318071,12862228094,13085878094,223650000,3504910023,2000,273
92,2,102,9390330754,13085878094,13300578094,214700000,3695547340,2000,94
93,2,102,9486511752,13300578094,13521078094,220500000,3814066342,2000,210
94,2,102,9518280855,13521078094,13572828094,51750000,4002797239,404,27
95,2,102,9535428864,13572828094,13698828094,126000000,4037399230,1101,118
96,2,102,9555651774,13698828094,13908778094,209950000,4143176320,1907,185
97,2,102,9565298153,13908778094,14129678094,220900000,4343479941,2000,218
98,2,102,9642440341,14129678094,14222228094,92550000,4487237753,755,141
99,2,102,9794630131,14222228094,14285578094,63350000,4427597963,381,305
100,2,102,9816752553,14285578094,14311328094,25750000,4468825541,157,1
101,2,102,9960629051,14311328094,14364078094,52750000,4350699043,341,173
102,2,102,10239587332,14364078094,14537828094,173750000,4124490762,1571,133
103,2,102,10458027483,14537828094,14738478094,200650000,4079800611,1699,415
104,2,102,10865578280,14738478094,14873028094,134550000,3872899814,1107,277
105,2,102,11003654721,14873028094,15092728094,219700000,3869373373,2000,194
106,2,102,11151260576,15092728094,15252828094,160100000,3941467518,1393,216
107,2,102,11189387497,15252828094,15290828094,38000000,4063440597,141,278
108,2,102,11233248465,15290828094,15357628094,66800000,4057579629,396,344
109,2,102,11391852909,15357628094,15412028094,54400000,3965775185,378,132
110,2,102,11512808254,15412028094,15630478094,218450000,3899219840,2000,169
111,2,102,11545411149,15630478094,15682378094,51900000,4085066945,283,272
112,2,102,11572476277,15682378094,15725028094,42650000,4109901817,250,153
113,2,102,11832753664,15725028094,15817328094,92300000,3892274430,705,236
114,2,102,11864266014,15817328094,15911928094,94600000,3953062080,694,304
115,2,102,11948416885,15911928094,16077028094,165100000,3963511209,1457,188
116,2,102,12015443601,16077028094,16292878094,215850000,4061584493,2000,117
117,2,102,12022165189,16292878094,16515628094,222750000,4270712905,2000,255
118,2,102,12038777588,16515628094,16572678094,57050000,4476850506,379,183
119,2,102,12356486536,16572678094,16707778094,135100000,4216191558,1230,42
120,2,102,12449245074,16707778094,16918228094,210450000,4258533020,2000,9
121,2,102,12472160830,16918228094,17041378094,123150000,4446067264,1051,161
122,2,102,12571035874,17041378094,17181178094,139800000,4470342220,1208,180
123,2,102,12661000444,17181178094,17396128094,214950000,4520177650,2000,99
124,2,102,12700833912,17396128094,17490928094,94800000,4695294182,700,296
125,2,102,13182604132,17490928094,17546378094,55450000,4308323962,261,387
126,2,102,13276110407,17546378094,17638228094,91850000,4270267687,770,97
127,2,102,13501099212,17638228094,17798528094,160300000,4137128882,1384,238
128,2,102,13507820868,17798528094,18014478094,215950000,4290707226,2000,119
129,2,102,13508352066,18014478094,18050328094,35850000,4506126028,133,251
130,2,102,13975215956,18050328094,18104478094,54150000,4075112138,348,187
131,2,102,14012975531,18104478094,18158078094,53600000,4091502563,320,232
132,2,102,14043290743,18158078094,18383428094,225350000,4114787351,2000,307
133,2,102,14117694792,18383428094,18603228094,219800000,4265733302,2000,196
134,2,102,14524072900,18603228094,18822028094,218800000,4079155194,2000,176
135,2,102,14641184770,18822028094,19012278094,190250000,4180843324,1675,255
136,2,102,14691772433,19012278094,19180978094,168700000,4320505661,1510,154
137,2,102,14749253696,19180978094,19228978094,48000000,4431724398,353,54
138,2,102,14869105585,19228978094,19345528094,116550000,4359872509,989,153
139,2,102,15069249340,19345528094,19567878094,222350000,4276278754,2000,247
140,2,102,15096276709,19567878094,19611528094,43650000,4471601385,222,229
141,2,102,15292907184,19611528094,19829728094,218200000,4318620910,2000,164
142,2,102,15338001652,19829728094,20053378094,223650000,4491726442,2000,273
143,2,102,15361104882,20053378094,20088178094,34800000,4692273212,160,176
144,2,102,15417867796,20088178094,20306578094,218400000,4670310298,2000,168
145,2,102,15420664611,20306578094,20408128094,101550000,4885913483,814,203
146,2,102,15550982548,20408128094,20546578094,138450000,4857145546,1139,291
147,2,102,15569555933,20546578094,20701328094,154750000,4977022161,1393,109
148,2,102,15579032165,20701328094,20838578094,137250000,5122295929,1150,245
149,2,102,15780663445,20838578094,21054978094,216400000,5057914649,2000,128
150,2,102,15806626809,21054978094,21208378094,153400000,5248351285,1280,308
151,2,102,15920902337,21208378094,21431128094,222750000,5287475757,2000,255
152,2,102,16061096895,21431128094,21522428094,91300000,5370031199,788,50
153,2,102,16134910095,21522428094,21740228094,217800000,5387517999,2000,156
154,2,102,16159373587,21740228094,21917178094,176950000,5580854507,1597,145
155,2,102,16254677699,21917178094,22142578094,225400000,5662500395,2000,308
156,2,102,16287213300,22142578094,22347278094,204700000,5855364794,1872,150
157,2,102,16612620231,22347278094,22377928094,30650000,5734657863,117,179
158,2,102,16658108028,22377928094,22515978094,138050000,5719820066,1169,223
159,2,102,16743164078,22515978094,22710128094,194150000,5772814016,1788,107
160,2,102,16877071857,22710128094,22823978094,113850000,5833056237,963,151
161,2,102,17035436137,22823978094,23039478094,215500000,5788541957,2000,110
162,2,102,17316699943,23039478094,23104678094,65200000,5722778151,537,30
163,2,102,17447783611,23104678094,23168928094,64250000,5656894483,521,43
164,2,102,17460042478,23168928094,23371878094,202950000,5708885616,1763,333
165,2,102,17481887276,23371878094,23434028094,62150000,5889990818,369,305
166,2,102,17595798756,23434028094,23650628094,216600000,5838229338,2000,132
167,2,102,17713030031,23650628094,23685028094,34400000,5937598063,222,44
168,2,102,17813386337,23685028094,23906328094,221300000,5871641757,2000,226
169,2,102,17832080728,23906328094,23996528094,90200000,6074247366,669,266
170,2,102,17867878774,23996528094,24211178094,214650000,6128649320,2000,93
171,2,102,18142381360,24211178094,24310228094,99050000,6068796734,740,301
172,2,102,18368255313,24310228094,24345278094,35050000,5941972781,101,299
173,2,102,18515468125,24345278094,24483678094,138400000,5829809969,1164,240
174,2,102,18654277254,24483678094,24532128094,48450000,5829400840,226,317
175,2,102,18729800183,24532128094,24675128094,143000000,5802327911,1169,322
176,2,102,18836489592,24675128094,24714878094,39750000,5838638502,157,281
177,2,102,18868101884,24714878094,24833678094,118800000,5846776210,982,212
178,2,102,19217082728,24833678094,25047428094,213750000,5616595366,2000,75
179,2,102,19899982557,25047428094,25263878094,216450000,5147445537,2000,129
180,2,102,19971576441,25263878094,25388678094,124800000,5292301653,1107,82
181,2,102,20103017020,25388678094,25526328094,137650000,5285661074,1139,275
182,2,102,20197598575,25526328094,25570978094,44650000,5328729519,285,123
183,2,102,20250317640,25570978094,25665828094,94850000,5320660454,741,215
184,2,102,20270451000,25665828094,25752478094,86650000,5395377094,695,143
185,2,102,20411072024,25752478094,25890728094,138250000,5341406070,1139,287
186,2,102,20492309666,25890728094,25945278094,54550000,5398418428,343,205
187,2,102,20871715960,25945278094,26014128094,68850000,5073562134,420,337
188,2,102,21004568572,26014128094,26154578094,140450000,5009559522,1265,79
189,2,102,21086493315,26154578094,26372228094,217650000,5068084779,2000,153
190,2,102,21168297802,26372228094,26589678094,217450000,5203930292,2000,149
191,2,102,21271680345,26589678094,26630878094,41200000,5317997749,188,248
192,2,102,21277541147,26630878094,26766978094,136100000,5353336947,1154,214
193,2,102,21392458523,26766978094,26991928094,224950000,5374519571,2000,299
194,2,102,21530884574,26991928094,27045428094,53500000,5461043520,317,236
195,2,102,21549534739,27045428094,27263678094,218250000,5495893355,2000,165
