0,100,1,0,0
0,101,1,0,0
0,102,1,0,0
0,103,9,2,1
0,104,-1,-1,-1
1,100,91,3,3
1,101,11,2,0
1,102,91,3,3
1,103,11,2,0
1,104,-1,-1,-1
2,100,12,2,0
2,101,12,2,0
2,102,12,2,0
2,103,12,2,0
2,104,-1,-1,-1
3,100,13,2,0
3,101,2,0,1
3,102,13,2,0
3,103,2,0,1
3,104,-1,-1,-1
4,100,3,0,1
4,101,3,0,1
4,102,14,2,0
4,103,5,1,0
4,104,-1,-1,-1
5,100,4,0,1
5,101,4,0,1
5,102,4,0,1
5,103,6,1,0
5,104,-1,-1,-1
6,100,5,0,1
6,101,7,1,0
6,102,16,2,0
6,103,96,3,3
6,104,-1,-1,-1
7,100,17,2,0
7,101,17,2,0
7,102,17,2,0
7,103,17,2,0
7,104,-1,-1,-1
8,100,98,3,3
8,101,18,2,0
8,102,7,0,1
8,103,18,2,0
8,104,-1,-1,-1
9,100,0,1,2
9,101,0,1,2
9,102,0,1,2
9,103,19,2,0
9,104,-1,-1,-1
10,100,11,1,1
10,101,11,1,1
10,102,11,1,1
10,103,19,3,2
10,104,-1,-1,-1
11,100,12,2,1
11,101,21,3,0
11,102,12,2,1
11,103,21,3,0
11,104,-1,-1,-1
12,100,22,3,0
12,101,22,3,0
12,102,22,3,0
12,103,22,3,0
12,104,-1,-1,-1
13,100,23,3,0
13,101,12,1,2
13,102,23,3,0
13,103,12,1,2
13,104,-1,-1,-1
14,100,13,1,2
14,101,13,1,2
14,102,24,3,0
14,103,15,2,1
14,104,-1,-1,-1
15,100,14,1,2
15,101,14,1,2
15,102,14,1,2
15,103,16,2,1
15,104,-1,-1,-1
16,100,15,1,2
16,101,17,2,1
16,102,26,3,0
16,103,17,2,1
16,104,-1,-1,-1
17,100,27,3,0
17,101,27,3,0
17,102,27,3,0
17,103,27,3,0
17,104,-1,-1,-1
18,100,17,1,2
18,101,28,3,0
18,102,17,1,2
18,103,28,3,0
18,104,-1,-1,-1
19,100,10,2,3
19,101,10,2,3
19,102,18,1,2
19,103,29,3,0
19,104,-1,-1,-1
20,100,21,1,1
20,101,21,1,1
20,102,21,1,1
20,103,29,3,2
20,104,-1,-1,-1
21,100,22,2,1
21,101,31,3,0
21,102,22,2,1
21,103,20,1,1
21,104,-1,-1,-1
22,100,32,3,0
22,101,32,3,0
22,102,23,2,1
22,103,21,1,2
22,104,-1,-1,-1
23,100,33,3,0
23,101,22,1,2
23,102,24,2,1
23,103,22,1,2
23,104,-1,-1,-1
24,100,23,1,2
24,101,23,1,2
24,102,102,4,0
24,103,25,2,1
24,104,-1,-1,-1
25,100,24,1,2
25,101,24,1,2
25,102,24,1,2
25,103,26,2,1
25,104,-1,-1,-1
26,100,25,1,2
26,101,27,2,1
26,102,25,1,2
26,103,27,2,1
26,104,-1,-1,-1
27,100,37,3,0
27,101,37,3,0
27,102,26,1,2
27,103,28,2,1
27,104,-1,-1,-1
28,100,38,3,0
28,101,38,3,0
28,102,27,1,2
28,103,29,2,1
28,104,-1,-1,-1
29,100,20,2,3
29,101,20,2,3
29,102,28,1,2
29,103,103,4,0
29,104,-1,-1,-1
30,100,31,1,1
30,101,31,1,1
30,102,31,1,1
30,103,39,3,2
30,104,-1,-1,-1
31,100,32,2,1
31,101,41,3,0
31,102,41,3,0
31,103,21,0,3
31,104,-1,-1,-1
32,100,33,2,1
32,101,42,3,0
32,102,42,3,0
32,103,22,0,3
32,104,-1,-1,-1
33,100,100,4,0
33,101,32,1,2
33,102,23,0,3
33,103,43,3,0
33,104,-1,-1,-1
34,100,33,1,2
34,101,33,1,2
34,102,24,0,3
34,103,35,2,1
34,104,-1,-1,-1
35,100,34,1,2
35,101,34,1,2
35,102,34,1,2
35,103,36,2,1
35,104,-1,-1,-1
36,100,35,1,2
36,101,37,2,1
36,102,26,0,3
36,103,46,3,0
36,104,-1,-1,-1
37,100,36,1,2
37,101,47,3,0
37,102,27,0,3
37,103,47,3,0
37,104,-1,-1,-1
38,100,48,3,0
38,101,48,3,0
38,102,48,3,0
38,103,28,0,3
38,104,-1,-1,-1
39,100,30,2,3
39,101,30,2,3
39,102,30,2,3
39,103,29,0,3
39,104,-1,-1,-1
40,100,41,1,1
40,101,41,1,1
40,102,41,1,1
40,103,49,3,2
