src,dst,src_name,lambda,L_mean,n_req,n_pkts,pkt_mean_ms,pkt_p95_ms,tok_mean_ms,req_mean_ms,req_p95_ms,gather_max_ms
60,2,Tokyo,10.0,500.0,42,79,60.18997340506329,61.440176,60.003767558925645,60.657363238095236,60.755014,1.143998
61,22,Mumbai,15.0,800.0,84,238,69.19297841176471,70.466886,68.90783871817801,70.1893908095238,71.44203,3.432012
62,42,Shanghai,5.0,300.0,23,26,34.577446884615384,35.58939,34.45382708138173,34.59467117391305,35.58939,1.143999
63,32,Sao-Paulo,8.0,600.0,36,83,80.30078903614458,81.658997,80.02676458590388,81.01504427777778,81.766293,2.288003
64,12,NY,12.0,500.0,57,110,42.63071035454545,43.203652,42.405975257677376,43.13201036842106,43.204935,2.287992
